antecedents,consequents,support,confidence,lift
frozenset({'kienyeji chicken'}),frozenset({'sukuma wiki'}),0.2,1.0,5.0
"frozenset({'sukuma wiki', 'matoke'})",frozenset({'kienyeji chicken'}),0.2,1.0,5.0
"frozenset({'kienyeji chicken', 'matoke'})",frozenset({'sukuma wiki'}),0.2,1.0,5.0
frozenset({'beans'}),frozenset({'maziwa mala'}),0.8,1.0,1.25
frozenset({'beans'}),"frozenset({'maziwa mala', 'matoke'})",0.8,1.0,1.25
frozenset({'maziwa mala'}),"frozenset({'matoke', 'beans'})",0.8,1.0,1.25
frozenset({'mango'}),frozenset({'beans'}),0.4,1.0,1.25
"frozenset({'mango', 'beans'})",frozenset({'maziwa mala'}),0.4,1.0,1.25
"frozenset({'maziwa mala', 'mango'})",frozenset({'beans'}),0.4,1.0,1.25
frozenset({'ndizi'}),frozenset({'beans'}),0.4,1.0,1.25
